family,n_languages,Apertus_Eng_mean,Apertus_Trans_mean,Apertus_delta_mean,Apertus_delta_std,GPT_Eng_mean,GPT_Trans_mean,GPT_delta_mean,GPT_delta_std
Germanic,2,0.34096858638743455,-0.14594240837696337,-0.4869109947643979,3.9187043344814687,4.222513089005236,3.8278795811518327,-0.39463350785340334,0.2026916035076621
Romance,5,0.40026178010471203,-0.6007853403141363,-1.0010471204188485,2.9186464548900584,4.216230366492146,3.8968586387434554,-0.31937172774869127,0.2823844813594199
Slavic,3,0.35340314136125656,-1.8660558464223385,-2.2194589877835953,0.8654855011128334,4.12870855148342,3.8747818499127398,-0.253926701570681,0.15870115234317164
CJK,3,0.3669284467713787,-4.890052356020942,-5.256980802792321,1.3094778395229856,4.056719022687609,1.3765270506108205,-2.680191972076789,0.20413953187822798
Other,3,0.48080279232111695,-2.5226876090750436,-3.00349040139616,5.5812522604083235,4.115619546247818,3.6666666666666665,-0.44895287958115154,0.19724049519235182
