language,family,script,Apertus-Eng,Apertus-Trans,Apertus_delta,GPT-Eng,GPT-Trans,GPT_delta
cmn.Hani,CJK,Non-Latin,0.3782722513089005,-5.708115183246074,-6.086387434554974,4.154450261780105,1.706806282722513,-2.4476439790575917
jpn.Jpan,CJK,Non-Latin,0.3992146596858639,-3.3481675392670156,-3.7473821989528795,3.994764397905759,1.2316753926701571,-2.763089005235602
kor.Hang,CJK,Non-Latin,0.32329842931937175,-5.613874345549738,-5.93717277486911,4.020942408376963,1.1910994764397906,-2.8298429319371725
deu.Latn,Germanic,Latin,0.40575916230366493,2.68979057591623,2.2840314136125652,4.195026178010472,3.943717277486911,-0.2513089005235605
nld.Latn,Germanic,Latin,0.2761780104712042,-2.981675392670157,-3.257853403141361,4.25,3.712041884816754,-0.5379581151832462
arb.Arab,Other,Non-Latin,0.5340314136125655,-1.3141361256544504,-1.8481675392670158,4.112565445026178,3.776178010471204,-0.33638743455497355
ind.Latn,Other,Latin,0.49476439790575916,2.404450261780105,1.9096858638743457,4.112565445026178,3.7787958115183247,-0.33376963350785305
tur.Latn,Other,Latin,0.41361256544502617,-8.658376963350785,-9.071989528795811,4.121727748691099,3.445026178010471,-0.6767015706806281
fra.Latn,Romance,Latin,0.3743455497382199,0.06806282722513089,-0.30628272251308897,4.111256544502618,3.668848167539267,-0.4424083769633511
ita.Latn,Romance,Latin,0.5052356020942408,-5.387434554973822,-5.892670157068063,4.244764397905759,3.527486910994764,-0.7172774869109948
por.Latn,Romance,Latin,0.36649214659685864,-0.10340314136125654,-0.4698952879581152,4.209424083769633,4.255235602094241,0.045811518324607725
ron.Latn,Romance,Latin,0.4083769633507853,0.08638743455497382,-0.3219895287958115,4.281413612565445,4.037958115183246,-0.2434554973821994
spa.Latn,Romance,Latin,0.3468586387434555,2.332460732984293,1.9856020942408374,4.234293193717278,3.994764397905759,-0.23952879581151887
ces.Latn,Slavic,Latin,0.31544502617801046,-1.8219895287958114,-2.137434554973822,4.18586387434555,3.8219895287958114,-0.36387434554973863
pol.Latn,Slavic,Latin,0.3102094240837696,-2.81282722513089,-3.1230366492146597,4.071989528795812,4.0,-0.07198952879581189
rus.Cyrl,Slavic,Non-Latin,0.43455497382198954,-0.9633507853403142,-1.3979057591623036,4.128272251308901,3.8023560209424083,-0.3259162303664924
